species,species_code,month,type_of_day,sub_region,state,length_mm,length_in,weight_kg,weight_lbs,fishing_mode,area_x
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,619,24.37007874,1.56,3.4392072,Charter Boat,3
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,554,21.81102362,1.74,3.8360388,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,683,26.88976378,2.88,6.3493056,Charter Boat,1
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,671,26.41732283,2.16,4.7619792,Charter Boat,4
RED DRUM,8835440901,2,Weekday,South Atlantic,North Carolina,561,22.08661417,2,4.40924,Charter Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,755,29.72440945,3.38,7.4516156,Charter Boat,2
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,292,11.49606299,0.34,0.7495708,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,678,26.69291339,2.58,5.6879196,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,670,26.37795276,2.36,5.2029032,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,825,32.48031496,4.38,9.6562356,Charter Boat,2
RED DRUM,8835440901,1,Weekday,South Atlantic,North Carolina,535,21.06299213,1.8,3.968316,Charter Boat,5
BLACK SEA BASS,8835020301,2,Weekend,Gulf of Mexico,Florida,331,13.03149606,0.4,0.881848,Private or Rental Boat,4
BLACK SEA BASS,8835020301,2,Weekday,Gulf of Mexico,Florida,292,11.49606299,0.3,0.661386,Private or Rental Boat,4
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,597,23.50393701,1.6,3.527392,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,336,13.22834646,0.48,1.0582176,Charter Boat,4
BLACK SEA BASS,8835020301,2,Weekend,Gulf of Mexico,Florida,270,10.62992126,0.23,0.5070626,Private or Rental Boat,4
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,498,19.60629921,1.44,3.1746528,Charter Boat,5
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Florida,535,21.06299213,1.58,3.4832996,Private or Rental Boat,5
KING MACKEREL,8850030501,2,Weekend,South Atlantic,Florida,651,25.62992126,2.12,4.6737944,Charter Boat,2
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,494,19.4488189,0.96,2.1164352,Charter Boat,4
KING MACKEREL,8850030501,2,Weekday,South Atlantic,Florida,845,33.26771654,4.78,10.5380836,Charter Boat,1
RED DRUM,8835440901,1,Weekend,Gulf of Mexico,Florida,595,23.42519685,2.2,4.850164,Shore,5
RED DRUM,8835440901,1,Weekend,South Atlantic,North Carolina,637,25.07874016,2.9,6.393398,Private or Rental Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,815,32.08661417,4.2,9.259404,Charter Boat,2
KING MACKEREL,8850030501,2,Weekend,Gulf of Mexico,Florida,630,24.80314961,1.86,4.1005932,Charter Boat,4
KING MACKEREL,8850030501,1,Weekend,Gulf of Mexico,Florida,630,24.80314961,1.86,4.1005932,Charter Boat,4
BLACK SEA BASS,8835020301,1,Weekend,Gulf of Mexico,Florida,300,11.81102362,0.28,0.6172936,Charter Boat,3
RED DRUM,8835440901,2,Weekday,South Atlantic,North Carolina,570,22.44094488,2,4.40924,Charter Boat,5
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,675,26.57480315,2.2,4.850164,Charter Boat,2
BLACK SEA BASS,8835020301,2,Weekend,Gulf of Mexico,Florida,302,11.88976378,0.3,0.661386,Private or Rental Boat,4
KING MACKEREL,8850030501,1,Weekend,South Atlantic,Florida,930,36.61417323,6.74,14.8591388,Charter Boat,2
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,631,24.84251969,3,6.61386,Private or Rental Boat,5
KING MACKEREL,8850030501,2,Weekday,Gulf of Mexico,Florida,620,24.40944882,1.64,3.6155768,Charter Boat,4
RED DRUM,8835440901,2,Weekend,Gulf of Mexico,Florida,591,23.26771654,2.41,5.3131342,Charter Boat,5
