,name,city,country,status.started,status.completed,height in meters,height,floors,material,function,,,,,,,,,,,
72,Forum 66 Tower 1,Shenyang,China,2008,2015,35.6,"35.6 m / 1,150 ft",68,composite,hotel / office,,,,,,,,,,,
73,The Pinnacle,Guangzhou,China,2008,2012,350,"350 m / 1,149 ft",80,concrete,Office,,,,,,,,,,,
74,Spring City 66,Kunming,China,2013,2019,349,"349 m / 1,145 ft",61,composite,Office,,,,,,,,,,,
75,85 Sky Tower,Kaohsiung,Taiwan,1994,1997,378,"378 m / 1,240 ft",85,steel,office,,,,,,,,,,,
76,Shimao Hunan Center,Changsha,China,2014,2019,343,"343 m / 1,125 ft",74,composite,office,,,,,,,,,,,
77,Aon Center,Chicago,USA,1970,1973,"1,136","1,136 feet",88,steel,The headquarters of the Standard Oil Company of Indiana,,,,,,,,,,,
78,The Center,Hong Kong,China,1995,1998,"1,135","1,135 feet",73,steel,Office,,,,,,,,,,,
79,NEVA TOWERS 2,Moscow,Russia,2013,2020,"1,132","1,132 feet",79,concrete,residential,,,,,,,,,,,
80,875 North Michigan Avenue,Chicago,US,1965,1969,"1,128","1,128 feet",100,steel,residential/commercial,,,,,,,,,,,
81,Four Seasons Place,Kuala Lampur,Malaysia,2013,2018,342.5,342.5 m (1123.6877 ft),74,concrete,residential/hotel,,,,,,,,,,,
82,ADNOC Headquarters,Abu Dhabi,United Arab Emirates,2009,2015,342,342 m (1122.05 ft),65,concrete,office,,,,,,,,,,,
83,One Shenzhen Bay Tower 7,Shenzhen,China,2014,2018,341.4,"341.4 m / 1,120 ft",71,composite,residential / hotel / office,,,,,,,,,,,
84,LCT The Sharp Residential Tower A,Busan,South Korea,2013,2019,339.1,"339.1 m / 1,113 ft",85,concrete,residential,,,,,,,,,,,
85,Commerzbank Tower,Frankfurt,Germany,1994,2003,256,256m / 850ft,56,steel,office,,,,,,,,,,,
86,Torre de Cristal,Madrid,Spain,2004,2008,249,249m,50,concrete,office,,,,,,,,,,,
87,Comcast Technology Center,Philadelphia,United States of America,2014,2018,339.1,"339.1 m (1,112 ft)",59,composite,hotel / office,,,,,,,,,,,
88,YunDing Tower,Jinan,China,2016,2020,339,"339 m (1,112 ft)",69,concrete,office / hotel,,,,,,,,,,,
89,Wuxi International Finance Square,Wuxi,China,2011,2014,339,"339 m (1,112 ft)",68,composite,hotel / office,,,,,,,,,,,
90,Heartland 66 Office Tower,Wuhan,China,2015,2020,339,"339 m (1,112 ft)",60,composite,office,,,,,,,,,,,
91,Chongqing World Financial Center,Chongqing,China,2010,2015,338.9,"338.9 m (1,112 ft)",72,composite,hotel / office,,,,,,,,,,,
92,Mercury City Tower,Moscow,Russia,2006,2013,338.8,"338.8 m (1,112 ft)",75,concrete,residential / office,,,,,,,,,,,
93,Suning Plaza Tower 1,Zhenjiang,China,2012,2018,338,"338 m (1,109 ft)",75,composite,hotel / serviced apartments / SOHO / office,,,,,,,,,,,
94,Tianjin Modern City Office Tower,Tianjin,China,2011,2016,338,"338 m (1,109 ft)",65,composite,office,,,,,,,,,,,
95,Hengqin International Finance Center,Zhuhai,China,2015,2020,337.7,"337.7 m (1,108 ft)",69,composite,residential / office,,,,,,,,,,,
96,Tianjin World Financial Center,Tianjin,China,2007,2011,336.9,"336.9 m (1,105 ft)",75,composite,office,,,,,,,,,,,
97,SLS Dubai,Dubai,United Arab Emirates,2016,2020,336,"336 m (1,102 ft)",78,concrete,serviced apartments / hotel,,,,,,,,,,,
98,Wilshire Grand Center,Los Angeles,United States of America,2014,2017,335.3,"335.3 m (1,100 ft)",62,composite,hotel / office,,,,,,,,,,,
99,DAMAC Heights,Dubai,United Arab Emirates,2011,2018,335.1,"335.1 m (1,099 ft)",88,concrete,residential,,,,,,,,,,,
100,"Twin Towers Guiyang, East Tower",Guiyang,China,2012,2020,335,"335 m (1,099 ft)",74,composite,office,,,,,,,,,,,
101,"Twin Towers Guiyang, West Tower",Guiyang,China,2012,2020,335,"335 m (1,099 ft)",74,composite,hotel / office,,,,,,,,,,,
102,Shimao International Plaza,Shanghai,China,2001,2006,333.3,"333.3 m (1,094 ft)",60,concrete,hotel / office / retail,,,,,,,,,,,
